epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,2790.6,0.54634,0.4357,1.03494,0.64617,0.63244,0.6471,0.52112,0.68264,0.6583,1.19243,0.000765543,0.000765543,0.000765543
122,2813.67,0.57942,0.43055,1.04759,0.88862,0.60287,0.64029,0.49352,0.74966,0.69347,1.31572,0.000760555,0.000760555,0.000760555
123,2836.71,0.53116,0.40898,1.02118,0.8567,0.62504,0.6552,0.53514,0.65916,0.65973,1.19784,0.000755551,0.000755551,0.000755551
124,2859.75,0.54702,0.46788,1.05554,0.62105,0.65181,0.65513,0.51464,0.6971,0.69425,1.22569,0.000750532,0.000750532,0.000750532
125,2882.76,0.51749,0.44137,1.032,0.88873,0.61866,0.65761,0.52046,0.69428,0.67191,1.23171,0.000745496,0.000745496,0.000745496
126,2905.89,0.54389,0.41766,1.02006,0.9041,0.62006,0.66842,0.53383,0.70647,0.63721,1.22137,0.000740447,0.000740447,0.000740447
127,2928.88,0.55461,0.40408,1.04624,0.91762,0.6257,0.67886,0.54381,0.6815,0.62937,1.22137,0.000735383,0.000735383,0.000735383
128,2951.9,0.54087,0.40214,1.03413,0.88834,0.6154,0.66444,0.53994,0.67596,0.6643,1.18474,0.000730305,0.000730305,0.000730305
129,2974.79,0.53804,0.41412,1.02125,0.86642,0.63041,0.65914,0.52527,0.68289,0.66445,1.22489,0.000725214,0.000725214,0.000725214
130,2997.72,0.51919,0.40773,1.01518,0.68001,0.63845,0.65899,0.5362,0.66845,0.65259,1.18375,0.000720111,0.000720111,0.000720111
131,3020.78,0.54222,0.41336,1.05529,0.61794,0.72983,0.68787,0.55209,0.64954,0.62195,1.17714,0.000714995,0.000714995,0.000714995
132,3043.76,0.536,0.42255,1.02671,0.88772,0.63217,0.66513,0.52234,0.68187,0.65804,1.20912,0.000709869,0.000709869,0.000709869
133,3066.67,0.55271,0.44293,1.03113,0.90322,0.64228,0.67713,0.53669,0.69292,0.62072,1.22686,0.000704731,0.000704731,0.000704731
134,3089.75,0.53154,0.41433,1.04222,0.67894,0.63799,0.66662,0.54081,0.63867,0.61552,1.16637,0.000699584,0.000699584,0.000699584
135,3112.87,0.51677,0.40602,1.02026,0.8481,0.63774,0.66179,0.54201,0.67859,0.63191,1.18139,0.000694426,0.000694426,0.000694426
136,3135.88,0.53831,0.42413,1.02632,0.63032,0.65771,0.6547,0.53644,0.67452,0.63788,1.19516,0.000689259,0.000689259,0.000689259
137,3158.78,0.52877,0.40799,1.02622,0.88663,0.60359,0.64881,0.52254,0.70146,0.68094,1.22871,0.000684084,0.000684084,0.000684084
138,3181.81,0.56122,0.42144,1.04966,0.66979,0.62669,0.65782,0.52218,0.6857,0.67921,1.22986,0.000678901,0.000678901,0.000678901
139,3204.73,0.52962,0.40552,1.02573,0.65853,0.63815,0.66724,0.53275,0.66197,0.65399,1.17823,0.00067371,0.00067371,0.00067371
140,3227.77,0.54578,0.42407,1.03677,0.88221,0.60649,0.64898,0.49811,0.70971,0.72507,1.24156,0.000668513,0.000668513,0.000668513
141,3250.74,0.54246,0.41785,1.03754,0.66341,0.6446,0.66609,0.5255,0.72328,0.67948,1.26251,0.000663309,0.000663309,0.000663309
142,3273.8,0.52654,0.40177,1.02106,0.86744,0.62756,0.6671,0.5319,0.69581,0.65019,1.23778,0.000658099,0.000658099,0.000658099
143,3296.66,0.51392,0.393,1.01048,0.67872,0.64108,0.66644,0.53649,0.67629,0.62927,1.22622,0.000652885,0.000652885,0.000652885
144,3319.79,0.51724,0.40957,1.01479,0.87803,0.61401,0.65716,0.52013,0.69296,0.67303,1.24489,0.000647665,0.000647665,0.000647665
145,3342.9,0.5142,0.41795,1.01704,0.88934,0.63335,0.66497,0.52687,0.71203,0.62091,1.25502,0.000642442,0.000642442,0.000642442
146,3366.02,0.5194,0.3824,1.01672,0.6367,0.65584,0.65977,0.53898,0.6564,0.62458,1.21628,0.000637215,0.000637215,0.000637215
147,3389.18,0.49972,0.37883,1.01672,0.86387,0.64677,0.65868,0.54311,0.67312,0.65596,1.19581,0.000631986,0.000631986,0.000631986
148,3412.29,0.5057,0.39797,1.00686,0.89099,0.59473,0.65725,0.52834,0.65537,0.66484,1.22372,0.000626754,0.000626754,0.000626754
149,3435.54,0.50715,0.38173,1.00238,0.84397,0.64423,0.66926,0.54615,0.62412,0.65038,1.16176,0.00062152,0.00062152,0.00062152
150,3458.57,0.52794,0.38376,1.01997,0.62315,0.7174,0.66661,0.54665,0.6547,0.65695,1.20524,0.000616285,0.000616285,0.000616285
151,3481.42,0.50185,0.37964,0.99799,0.65952,0.63016,0.64944,0.52422,0.67593,0.6571,1.22069,0.00061105,0.00061105,0.00061105
152,3504.46,0.51546,0.38648,1.01608,0.86435,0.61911,0.65878,0.54099,0.63458,0.64343,1.18661,0.000605815,0.000605815,0.000605815
153,3527.33,0.52233,0.38655,1.0181,0.88529,0.63054,0.66435,0.54458,0.65419,0.65135,1.16658,0.00060058,0.00060058,0.00060058
154,3550.23,0.50204,0.37689,1.02241,0.86878,0.64701,0.66343,0.5393,0.65095,0.63602,1.19518,0.000595346,0.000595346,0.000595346
155,3573.17,0.54168,0.43399,1.02999,0.89652,0.63954,0.6621,0.54051,0.65681,0.65569,1.20063,0.000590114,0.000590114,0.000590114
156,3596.17,0.49881,0.38656,1.01339,0.85523,0.65211,0.6607,0.53827,0.64846,0.65082,1.1948,0.000584885,0.000584885,0.000584885
157,3619.05,0.47967,0.35952,0.99173,0.8534,0.65791,0.66238,0.52898,0.69566,0.67669,1.25109,0.000579658,0.000579658,0.000579658
158,3641.99,0.49182,0.36176,1.00502,0.86813,0.64804,0.66329,0.52981,0.67784,0.66243,1.22093,0.000574435,0.000574435,0.000574435
159,3664.8,0.48543,0.37441,0.99502,0.65917,0.64553,0.66877,0.54514,0.65144,0.61955,1.19761,0.000569215,0.000569215,0.000569215
160,3687.76,0.49388,0.38236,0.99653,0.86977,0.63535,0.6481,0.53009,0.65159,0.65132,1.22328,0.000564001,0.000564001,0.000564001
161,3710.7,0.49517,0.37282,0.99749,0.72777,0.69693,0.68114,0.5662,0.6533,0.64219,1.21897,0.000558791,0.000558791,0.000558791
162,3733.58,0.48963,0.38088,1.00081,0.67631,0.69542,0.68061,0.56283,0.64462,0.64721,1.22067,0.000553587,0.000553587,0.000553587
163,3756.6,0.49014,0.37671,1.00564,0.64829,0.71501,0.68251,0.55255,0.66087,0.62221,1.24117,0.00054839,0.00054839,0.00054839
164,3779.45,0.48501,0.36356,0.99681,0.61227,0.71115,0.66643,0.5359,0.659,0.70296,1.23428,0.000543199,0.000543199,0.000543199
165,3802.54,0.48039,0.50742,0.97484,0.64858,0.71179,0.68106,0.54586,0.65974,0.62377,1.22215,0.000538016,0.000538016,0.000538016
166,3825.63,0.48942,0.35534,1.00909,0.65698,0.62949,0.65366,0.52305,0.66114,0.66878,1.2131,0.000532841,0.000532841,0.000532841
167,3848.55,0.49453,0.36295,1.00145,0.84706,0.63747,0.6661,0.54152,0.67214,0.67863,1.23441,0.000527674,0.000527674,0.000527674
168,3871.55,0.49651,0.38601,0.99944,0.88871,0.62967,0.68156,0.5596,0.65305,0.64389,1.20885,0.000522516,0.000522516,0.000522516
169,3894.58,0.48369,0.38403,1.00649,0.67202,0.64323,0.66926,0.5501,0.6578,0.62393,1.21728,0.000517369,0.000517369,0.000517369
170,3917.7,0.46925,0.3544,0.97106,0.86536,0.64695,0.67568,0.54871,0.65006,0.63059,1.19404,0.000512231,0.000512231,0.000512231
171,3940.79,0.482,0.35709,0.98755,0.89644,0.62672,0.66519,0.54349,0.65114,0.66683,1.19958,0.000507105,0.000507105,0.000507105
172,3963.89,0.50047,0.361,1.0112,0.92104,0.61182,0.67047,0.54932,0.67215,0.64787,1.24637,0.000501989,0.000501989,0.000501989
173,3986.92,0.4733,0.34833,0.98922,0.65712,0.62732,0.66234,0.54195,0.6618,0.6756,1.23044,0.000496886,0.000496886,0.000496886
